t       	v       	Ic       	Id
 0.00482499	-0.185964	 7.82938e-13	 0.000822682
 0.00484999	-0.171392	 1.37131e-12	 0.000835952
 0.00487499	-0.151622	 2.93337e-12	 0.000854126
 0.00489999	-0.127244	 7.49127e-12	 0.000876803
 0.00492499	-0.0989945	 2.22041e-11	 0.000903455
 0.00494999	-0.0677281	 7.39086e-11	 0.000933419
 0.00497499	-0.0343963	 2.66353e-10	 0.000965899
 0.00499999	-1.50039e-05	 9.99423e-10	 0.000999985
 0.00502499	 0.0343667	 3.75015e-09	 0.00103466
 0.00504999	 0.0676999	 1.35156e-08	 0.00106885
 0.00507499	 0.0989685	 4.49918e-08	 0.00110142
 0.00509999	 0.127221	 1.33371e-07	 0.00113127
 0.00512499	 0.151602	 3.40653e-07	 0.00115735
 0.00514999	 0.171377	 7.28807e-07	 0.00117872
 0.00517499	 0.185954	 1.27674e-06	 0.0011946
 0.00519999	 0.194906	 1.80149e-06	 0.0012044
 0.00522499	 0.19798	 2.02764e-06	 0.00120778
 0.00524999	 0.195108	 1.81559e-06	 0.00120463
 0.00527499	 0.186405	 1.29909e-06	 0.00119509
 0.00529999	 0.172165	 7.51239e-07	 0.00117957
 0.00532499	 0.152853	 3.5744e-07	 0.00115869
 0.00534999	 0.129089	 1.43304e-07	 0.00113326
 0.00537499	 0.101626	 4.98339e-08	 0.00110421
 0.00539999	 0.0713268	 1.55388e-08	 0.0010726
 0.00542499	 0.0391357	 4.50513e-09	 0.00103952
 0.00544999	 0.00604864	 1.26193e-09	 0.00100606
 0.00547499	-0.0269188	 3.55107e-10	 0.000973262
 0.00549999	-0.0587635	 1.04336e-10	 0.0009421
 0.00552499	-0.0885265	 3.32113e-11	 0.000913433
 0.00554999	-0.115322	 1.18495e-11	 0.000888003
 0.00557499	-0.138366	 4.88403e-12	 0.00086642
 0.00559999	-0.156999	 2.3853e-12	 0.000849163
 0.00562499	-0.170705	 1.408e-12	 0.00083658
 0.00564999	-0.179128	 1.0184e-12	 0.000828894
 0.00567499	-0.182078	 9.09143e-13	 0.00082621
 0.00569999	-0.179541	 1.00233e-12	 0.000828518
 0.00572499	-0.171671	 1.35666e-12	 0.000835697
 0.00574999	-0.158786	 2.22685e-12	 0.000847517
 0.00577499	-0.141357	 4.35339e-12	 0.000863639
 0.00579999	-0.119987	 9.90349e-12	 0.000883613
 0.00582499	-0.0953931	 2.55028e-11	 0.000906882
 0.00584999	-0.0683829	 7.20704e-11	 0.000932786
 0.00587499	-0.0398242	 2.16168e-10	 0.000960572
 0.00589999	-0.0106185	 6.6471e-10	 0.00098941
 0.00592499	 0.0183283	 2.02371e-09	 0.00101841
 0.00594999	 0.0461353	 5.89695e-09	 0.00104667
 0.00597499	 0.0719741	 1.59305e-08	 0.00107327
 0.00599999	 0.0950941	 3.8763e-08	 0.00109735
 0.00602499	 0.114845	 8.28579e-08	 0.00111814
 0.00604999	 0.130697	 1.52445e-07	 0.00113497
 0.00607499	 0.142252	 2.37755e-07	 0.00114731
 0.00609999	 0.149259	 3.11288e-07	 0.00115483
 0.00612499	 0.151612	 3.40783e-07	 0.00115736
